City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
79,Brae,60.3964,-1.353,44.53,overcast clouds,80,89,11.7,GB
80,Chokurdakh,70.6333,147.9167,17.28,broken clouds,92,57,8.08,RU
81,Lakes Entrance,-37.8811,147.981,53.17,broken clouds,68,76,9.19,AU
82,Sobolevo,54.4299,31.8996,37.54,scattered clouds,67,40,3.11,RU
83,Westonaria,-26.3191,27.6486,56.86,clear sky,26,0,4.94,ZA
84,Hermanus,-34.4187,19.2345,58.24,broken clouds,86,53,3.47,ZA
85,Kabale,-1.2486,29.9899,56.26,overcast clouds,96,86,2.77,UG
86,Vikhorevka,56.1201,101.1636,56.79,broken clouds,92,53,3.53,RU
87,Dikson,73.5069,80.5464,17.96,light snow,94,100,18.41,RU
88,Ust-Kulom,61.6864,53.6902,29.39,light snow,93,100,3.6,RU
89,Cape Town,-33.9258,18.4232,59.92,broken clouds,81,58,5.01,ZA
90,Vila Do Maio,15.1333,-23.2167,72.05,broken clouds,79,82,13.47,CV
91,New Norfolk,-42.7826,147.0587,58.5,overcast clouds,65,98,3.0,AU
92,Jamestown,42.097,-79.2353,62.24,clear sky,21,0,4.61,US
93,Olafsvik,64.8945,-23.7142,44.46,overcast clouds,84,99,15.14,IS
94,Castro,-24.7911,-50.0119,60.73,scattered clouds,95,50,4.52,BR
95,Balikpapan,-1.2675,116.8289,76.19,few clouds,100,20,2.3,ID
96,Kaitong,44.8135,123.15,39.47,broken clouds,49,79,6.64,CN
97,Ilulissat,69.2167,-51.1,24.82,clear sky,46,0,13.8,GL
98,Ahipara,-35.1667,173.1667,65.41,clear sky,72,9,8.03,NZ
99,Lompoc,34.6391,-120.4579,78.85,clear sky,66,0,28.99,US
100,Buala,-8.145,159.5921,82.53,light rain,74,100,1.54,SB
101,Talas,38.6908,35.5538,52.47,broken clouds,82,75,0.0,TR
102,Hilo,19.7297,-155.09,78.53,broken clouds,76,75,4.61,US
103,Cam Ranh,11.9214,109.1591,75.16,scattered clouds,94,40,3.44,VN
104,Thompson,55.7435,-97.8558,35.19,overcast clouds,97,100,8.99,CA
105,Bluff,-46.6,168.3333,61.81,moderate rain,70,100,9.71,NZ
106,Kourou,5.1552,-52.6478,82.11,broken clouds,83,55,7.85,GF
107,Poltavka,54.3663,71.7632,45.37,overcast clouds,53,92,12.82,RU
108,Oeiras,-7.0253,-42.1311,85.89,overcast clouds,37,98,2.93,BR
109,Nanortalik,60.1432,-45.2371,37.17,overcast clouds,86,99,0.54,GL
110,Umm Lajj,25.0213,37.2685,83.21,broken clouds,54,58,4.72,SA
111,Wattegama,6.7989,81.4808,75.58,overcast clouds,93,85,2.53,LK
112,Lovozero,68.005,35.0117,14.67,overcast clouds,88,90,8.5,RU
113,Mayo,38.8876,-76.5119,71.19,clear sky,35,0,8.05,US
114,Port Hardy,50.6996,-127.4199,52.45,scattered clouds,62,34,2.71,CA
115,Avarua,-21.2078,-159.775,84.25,few clouds,74,20,10.36,CK
116,Lebu,-37.6167,-73.65,51.58,clear sky,75,2,15.48,CL
117,Goderich,43.7501,-81.7165,51.69,overcast clouds,56,100,12.95,CA
118,Codrington,-38.2667,141.9667,58.57,overcast clouds,82,99,12.19,AU
119,Nyuksenitsa,60.4128,44.2397,24.24,scattered clouds,89,40,4.45,RU
120,Cidreira,-30.1811,-50.2056,66.25,overcast clouds,71,100,10.92,BR
121,San Jeronimo,-11.9472,-75.2829,56.48,overcast clouds,66,88,4.18,PE
122,Gisborne,-38.6533,178.0042,58.15,clear sky,77,2,5.66,NZ
123,Bambous Virieux,-20.3428,57.7575,77.25,scattered clouds,83,40,6.91,MU
124,Coquimbo,-29.9533,-71.3436,56.93,clear sky,88,0,8.05,CL
125,Aklavik,68.2191,-135.0107,36.7,overcast clouds,98,97,12.35,CA
126,Xianyang,34.3378,108.7026,45.64,clear sky,76,0,4.47,CN
127,Wanaka,-44.7,169.15,55.15,moderate rain,82,100,9.35,NZ
128,College,64.8569,-147.8028,55.72,scattered clouds,30,40,11.5,US
129,Korla,41.7597,86.1469,57.16,clear sky,29,5,2.64,CN
130,Dinghai,26.2847,119.7936,61.72,overcast clouds,87,100,16.96,CN
131,San Cristobal,7.7669,-72.225,77.18,overcast clouds,93,99,5.1,VE
132,Sao Raimundo Nonato,-9.0153,-42.6994,79.47,overcast clouds,39,100,4.12,BR
133,Roald,62.5833,6.1333,44.76,clear sky,93,0,3.44,NO
134,Kakching,24.4833,93.9833,62.55,broken clouds,94,53,1.48,IN
135,Arraial Do Cabo,-22.9661,-42.0278,74.03,overcast clouds,86,100,13.44,BR
136,Beruwala,6.4788,79.9828,81.09,light rain,84,100,7.34,LK
137,Nemuro,43.3236,145.575,39.31,overcast clouds,58,96,2.75,JP
138,Miedzyrzec Podlaski,51.9864,22.7825,45.91,broken clouds,74,74,6.13,PL
139,Russell,32.3502,-85.1999,82.0,moderate rain,54,20,5.75,US
140,Saint George,37.1041,-113.5841,85.24,clear sky,13,0,3.0,US
141,Acarau,-2.8856,-40.12,77.76,scattered clouds,89,27,8.55,BR
142,Tasiilaq,65.6145,-37.6368,35.76,few clouds,72,22,1.28,GL
143,Nikolskoye,59.7035,30.7861,39.09,overcast clouds,75,98,7.29,RU
144,Gushikawa,26.3544,127.8686,69.8,overcast clouds,79,100,4.61,JP
145,Sharkan,57.2989,53.8712,37.2,overcast clouds,72,99,6.44,RU
146,Ribeira Grande,38.5167,-28.7,62.71,broken clouds,82,56,6.2,PT
147,Praya,14.9215,-23.5087,71.94,broken clouds,78,65,11.59,CV
148,Cabedelo,-6.9811,-34.8339,77.67,broken clouds,78,83,14.03,BR
149,Tourlaville,49.6383,-1.5664,47.62,clear sky,87,0,4.61,FR
150,Kruisfontein,-34.0033,24.7314,53.89,clear sky,79,6,6.44,ZA
151,Tam Ky,15.5667,108.4833,74.7,overcast clouds,94,100,2.53,VN
152,Bilibino,68.0546,166.4372,12.99,scattered clouds,83,46,2.08,RU
153,Iqaluit,63.7506,-68.5145,23.7,overcast clouds,85,97,10.0,CA
154,Namibe,-15.1961,12.1522,74.71,scattered clouds,82,25,5.3,AO
155,Hovd,48.0056,91.6419,49.17,overcast clouds,26,99,7.56,MN
156,Luderitz,-26.6481,15.1594,61.25,clear sky,49,0,12.24,NA
157,Coihueco,-36.6167,-71.8333,56.14,clear sky,54,0,9.22,CL
